         148400 function calls (144135 primitive calls) in 5.678 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      642    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       83    0.000    0.000    0.001    0.000 pyparsing.py:3870(__init__)
        1    0.000    0.000    0.001    0.001 version.py:10(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        2    0.000    0.000    0.001    0.000 rcsetup.py:928(validate_cycler)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      205    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
     18/4    0.000    0.000    0.001    0.000 pyparsing.py:4460(parseImpl)
     2249    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
       94    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
      294    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
        1    0.000    0.000    0.001    0.001 argparse.py:1686(__init__)
       16    0.000    0.000    0.001    0.000 arrayprint.py:1473(_array_str_implementation)
     24/4    0.000    0.000    0.001    0.000 pyparsing.py:4031(streamline)
     33/5    0.000    0.000    0.001    0.000 pyparsing.py:3928(streamline)
     1811    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
     2501    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
      233    0.000    0.000    0.000    0.000 pyparsing.py:1400(__init__)
        1    0.000    0.000    0.000    0.000 interp.py:1(<module>)
       15    0.000    0.000    0.000    0.000 colors.py:197(_to_rgba_no_colorcycle)
       35    0.000    0.000    0.000    0.000 rcsetup.py:106(<listcomp>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
       44    0.000    0.000    0.000    0.000 core.py:138(get_object_signature)
       16    0.000    0.000    0.000    0.000 arrayprint.py:461(wrapper)
       30    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
      850    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
       89    0.000    0.000    0.000    0.000 enum.py:852(__and__)
        1    0.000    0.000    0.000    0.000 opimg.py:163(rotacao_proj)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
     2236    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     23/7    0.000    0.000    0.000    0.000 pyparsing.py:4485(streamline)
       27    0.000    0.000    0.000    0.000 typing.py:716(__init__)
      286    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
