         149578 function calls (145313 primitive calls) in 47.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      520    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      205    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:156(__enter__)
      388    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
    13844    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       56    0.000    0.000    0.002    0.000 pyparsing.py:3901(<listcomp>)
      298    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
      315    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 animation.py:19(<module>)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
      327    0.000    0.000    0.002    0.000 re.py:188(match)
      274    0.000    0.000    0.002    0.000 function_base.py:451(add_newdoc)
       32    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(reshape)
        1    0.000    0.000    0.002    0.002 financial.py:1(<module>)
       21    0.000    0.000    0.002    0.000 pyparsing.py:1518(setParseAction)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1283(_trim_arity)
       89    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
     2080    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     5681    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
      335    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
     2467    0.001    0.000    0.001    0.000 sre_parse.py:254(get)
       24    0.000    0.000    0.001    0.000 pyparsing.py:1291(extract_stack)
        1    0.000    0.000    0.001    0.001 argparse.py:2505(format_usage)
       24    0.000    0.000    0.001    0.000 traceback.py:200(extract_stack)
    188/7    0.000    0.000    0.001    0.000 pyparsing.py:1647(_parseNoCache)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
     39/7    0.000    0.000    0.001    0.000 pyparsing.py:4049(parseImpl)
        1    0.000    0.000    0.001    0.001 colors.py:1(<module>)
        4    0.000    0.000    0.001    0.000 __init__.py:652(__init__)
     3043    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.001    0.001 fontconfig_pattern.py:62(__init__)
        4    0.000    0.000    0.001    0.000 _collections_abc.py:848(update)
       24    0.000    0.000    0.001    0.000 traceback.py:321(extract)
       32    0.000    0.000    0.001    0.000 fromnumeric.py:199(reshape)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
        1    0.000    0.000    0.001    0.001 cycler.py:1(<module>)
       23    0.000    0.000    0.001    0.000 overrides.py:206(decorator)
       36    0.000    0.000    0.001    0.000 fromnumeric.py:52(_wrapfunc)
        1    0.000    0.000    0.001    0.001 argparse.py:282(format_help)
        1    0.000    0.000    0.001    0.001 argparse.py:209(format_help)
        1    0.000    0.000    0.001    0.001 argparse.py:214(<listcomp>)
        1    0.000    0.000    0.001    0.001 argparse.py:294(_format_usage)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
      215    0.000    0.000    0.001    0.000 enum.py:289(__call__)
8403/7878    0.001    0.000    0.001    0.000 {built-in method builtins.len}
